Left Items,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,,0.4,0.75,0.666666666667,0.2,0.166666666667,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
2,1.0,,0.5,0.333333333333,0.2,0.333333333333,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.333333333333,1.0,,0.666666666667,0.2,0.166666666667,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0
4,0.0,0.6,0.5,,0.6,0.5,0.4,0.25,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
5,0.333333333333,0.2,0.5,0.666666666667,,0.5,0.2,0.5,0.6,0.2,0.0,0.0,0.25,0.0,0.0,0.0
6,0.333333333333,0.8,1.0,0.0,0.2,,1.0,0.5,0.2,0.4,0.25,0.0,0.0,0.0,0.333333333333,0.0
7,0.0,0.8,0.25,0.0,1.0,1.0,,0.75,0.2,1.0,0.5,0.0,0.25,0.0,0.0,0.5
8,0.0,0.2,0.5,1.0,0.8,0.0,0.6,,1.0,0.8,0.5,0.6,1.0,0.25,0.333333333333,0.5
9,0.0,0.0,0.0,0.666666666667,0.0,0.333333333333,0.4,0.75,,1.0,0.75,0.4,0.75,0.75,0.666666666667,0.0
10,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.25,0.2,,0.25,0.6,0.5,0.5,0.333333333333,0.0
11,0.0,0.2,0.0,0.0,0.0,0.166666666667,0.4,0.75,1.0,1.0,,0.4,1.0,0.5,0.333333333333,0.5
12,0.333333333333,0.0,0.0,0.0,0.4,0.0,0.4,0.5,0.4,0.8,1.0,,0.75,1.0,0.333333333333,0.5
13,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.5,0.2,0.2,1.0,1.0,,0.75,1.0,0.5
14,0.0,0.0,0.0,0.333333333333,0.2,0.166666666667,0.0,0.25,0.0,0.2,0.25,0.6,0.25,,0.666666666667,0.5
15,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.2,0.5,0.2,0.25,0.75,,1.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.4,0.0,0.25,1.0,
